trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
20,20:32:00,20:32:00,9,5,0,0,40.2500
20,20:43:00,20:43:00,71,6,0,0,46.3129
20,20:53:00,20:53:00,28,7,0,0,53.5366
20,21:24:00,21:24:00,1,8,0,0,67.6542
21,20:10:00,20:10:00,10,1,0,0,0.0000
21,20:19:00,20:19:00,2,2,0,0,5.8930
21,20:34:00,20:34:00,39,3,0,0,16.4197
21,20:45:00,20:45:00,55,4,0,0,27.2917
21,20:58:00,20:58:00,9,5,0,0,40.2500
21,21:05:00,21:05:00,71,6,0,0,46.3129
21,21:16:00,21:16:00,28,7,0,0,53.5366
21,21:46:00,21:46:00,1,8,0,0,67.6542
22,21:46:00,21:46:00,10,1,0,0,0.0000
22,21:55:00,21:55:00,2,2,0,0,5.8930
22,22:06:00,22:06:00,39,3,0,0,16.4197
22,22:17:00,22:17:00,55,4,0,0,27.2917
22,22:30:00,22:30:00,9,5,0,0,40.2500
22,22:37:00,22:37:00,71,6,0,0,46.3129
22,22:48:00,22:48:00,28,7,0,0,53.5366
22,23:18:00,23:18:00,1,8,0,0,67.6542
23,22:33:00,22:33:00,10,1,0,0,0.0000
23,22:42:00,22:42:00,2,2,0,0,5.8930
23,22:53:00,22:53:00,39,3,0,0,16.4197
23,23:04:00,23:04:00,55,4,0,0,27.2917
23,23:17:00,23:17:00,9,5,0,0,40.2500
23,23:29:00,23:29:00,71,6,0,0,46.3129
23,23:40:00,23:40:00,28,7,0,0,53.5366
23,24:10:00,24:10:00,1,8,0,0,67.6542
24,25:53:00,25:53:00,10,1,0,0,0.0000
24,26:02:00,26:02:00,2,2,0,0,5.8930
24,26:12:00,26:12:00,39,3,0,0,16.4197
24,26:23:00,26:23:00,55,4,0,0,27.2917
24,26:36:00,26:36:00,9,5,0,0,40.2500
24,26:44:00,26:44:00,71,6,0,0,46.3129
24,26:54:00,26:54:00,28,7,0,0,53.5366
24,27:24:00,27:24:00,1,8,0,0,67.6542
25,06:41:00,06:41:00,10,1,0,0,0.0000
25,06:50:00,06:50:00,2,2,0,0,5.8930
25,07:01:00,07:01:00,39,3,0,0,16.4197
25,07:12:00,07:12:00,55,4,0,0,27.2917
25,07:25:00,07:25:00,9,5,0,0,40.2500
25,07:33:00,07:33:00,71,6,0,0,46.3129
25,07:43:00,07:43:00,28,7,0,0,53.5366
25,08:13:00,08:13:00,1,8,0,0,67.6542
26,04:35:00,04:35:00,10,1,0,0,0.0000
26,04:44:00,04:44:00,2,2,0,0,5.8930
26,04:54:00,04:54:00,39,3,0,0,16.4197
26,05:04:00,05:04:00,55,4,0,0,27.2917
26,05:17:00,05:17:00,9,5,0,0,40.2500
26,05:24:00,05:24:00,71,6,0,0,46.3129
26,05:34:00,05:34:00,28,7,0,0,53.5366
26,06:04:00,06:04:00,1,8,0,0,67.6542
27,07:47:00,07:47:00,10,1,0,0,0.0000
27,07:56:00,07:56:00,2,2,0,0,5.8930
27,08:07:00,08:07:00,39,3,0,0,16.4197
27,08:18:00,08:18:00,55,4,0,0,27.2917
27,08:31:00,08:31:00,9,5,0,0,40.2500
27,08:39:00,08:39:00,71,6,0,0,46.3129
27,08:49:00,08:49:00,28,7,0,0,53.5366
27,09:19:00,09:19:00,1,8,0,0,67.6542
28,06:41:00,06:41:00,10,1,0,0,0.0000
28,06:50:00,06:50:00,2,2,0,0,5.8930
28,07:01:00,07:01:00,39,3,0,0,16.4197
28,07:12:00,07:12:00,55,4,0,0,27.2917
28,07:25:00,07:25:00,9,5,0,0,40.2500
28,07:33:00,07:33:00,71,6,0,0,46.3129
28,07:43:00,07:43:00,28,7,0,0,53.5366
28,08:13:00,08:13:00,1,8,0,0,67.6542
29,08:53:00,08:53:00,10,1,0,0,0.0000
29,09:02:00,09:02:00,2,2,0,0,5.8930
29,09:13:00,09:13:00,39,3,0,0,16.4197
29,09:24:00,09:24:00,55,4,0,0,27.2917
29,09:37:00,09:37:00,9,5,0,0,40.2500
29,09:45:00,09:45:00,71,6,0,0,46.3129
29,09:55:00,09:55:00,28,7,0,0,53.5366
29,10:25:00,10:25:00,1,8,0,0,67.6542
30,08:53:00,08:53:00,10,1,0,0,0.0000
30,09:02:00,09:02:00,2,2,0,0,5.8930
30,09:13:00,09:13:00,39,3,0,0,16.4197
30,09:24:00,09:24:00,55,4,0,0,27.2917
30,09:37:00,09:37:00,9,5,0,0,40.2500
30,09:45:00,09:45:00,71,6,0,0,46.3129
30,09:56:00,09:56:00,28,7,0,0,53.5366
30,10:26:00,10:26:00,1,8,0,0,67.6542
31,10:55:00,10:55:00,10,1,0,0,0.0000
31,11:04:00,11:04:00,2,2,0,0,5.8930
31,11:15:00,11:15:00,39,3,0,0,16.4197
31,11:30:00,11:30:00,55,4,0,0,27.2917
31,11:43:00,11:43:00,9,5,0,0,40.2500
31,11:50:00,11:50:00,71,6,0,0,46.3129
31,12:01:00,12:01:00,28,7,0,0,53.5366
31,12:31:00,12:31:00,1,8,0,0,67.6542
32,11:18:00,11:18:00,10,1,0,0,0.0000
32,11:27:00,11:27:00,2,2,0,0,5.8930
32,11:38:00,11:38:00,39,3,0,0,16.4197
32,11:49:00,11:49:00,55,4,0,0,27.2917
32,12:02:00,12:02:00,9,5,0,0,40.2500
32,12:09:00,12:09:00,71,6,0,0,46.3129
32,12:20:00,12:20:00,28,7,0,0,53.5366
32,12:50:00,12:50:00,1,8,0,0,67.6542
33,12:40:00,12:40:00,10,1,0,0,0.0000
33,12:49:00,12:49:00,2,2,0,0,5.8930
33,12:59:00,12:59:00,39,3,0,0,16.4197
33,13:10:00,13:10:00,55,4,0,0,27.2917
