service_id,date,exception_type
22,20130302,1
22,20130309,1
22,20130316,1
22,20130323,1
22,20130330,1
22,20130406,1
22,20130413,1
22,20130420,1
22,20130427,1
22,20130504,1
22,20130511,1
23,20130113,1
23,20130121,1
23,20130127,1
23,20130203,1
23,20130210,1
23,20130218,1
23,20130224,1
23,20130303,1
23,20130310,1
23,20130317,1
23,20130324,1
23,20130331,1
23,20130407,1
23,20130414,1
23,20130421,1
23,20130428,1
23,20130505,1
23,20130512,1
24,20130119,1
24,20130120,1
24,20130126,1
24,20130127,1
24,20130202,1
24,20130203,1
24,20130209,1
24,20130210,1
24,20130216,1
24,20130217,1
24,20130218,1
24,20130223,1
24,20130224,1
24,20130302,1
24,20130303,1
24,20130309,1
24,20130310,1
24,20130316,1
24,20130317,1
24,20130323,1
24,20130324,1
24,20130330,1
24,20130331,1
24,20130406,1
24,20130407,1
24,20130413,1
24,20130414,1
24,20130420,1
24,20130421,1
24,20130427,1
24,20130428,1
24,20130504,1
24,20130505,1
24,20130511,1
24,20130512,1
24,20130518,1
25,20130113,1
25,20130119,1
25,20130120,1
25,20130126,1
25,20130127,1
25,20130202,1
25,20130203,1
25,20130209,1
25,20130210,1
25,20130216,1
25,20130217,1
25,20130218,1
25,20130223,1
25,20130224,1
25,20130302,1
25,20130303,1
25,20130309,1
25,20130310,1
25,20130316,1
25,20130317,1
25,20130323,1
25,20130324,1
25,20130330,1
25,20130331,1
25,20130406,1
25,20130407,1
25,20130413,1
25,20130414,1
25,20130420,1
25,20130421,1
25,20130427,1
25,20130428,1
25,20130504,1
25,20130505,1
25,20130511,1
25,20130512,1
26,20130110,1
26,20130111,1
26,20130114,1
26,20130115,1
26,20130116,1
26,20130117,1
26,20130118,1
27,20130122,1
27,20130123,1
27,20130124,1
27,20130125,1
27,20130128,1
27,20130129,1
27,20130130,1
27,20130131,1
27,20130201,1
27,20130204,1
27,20130205,1
27,20130206,1
27,20130207,1
27,20130208,1
27,20130211,1
27,20130212,1
27,20130213,1
27,20130214,1
27,20130215,1
27,20130218,1
27,20130219,1
27,20130220,1
27,20130221,1
27,20130222,1
27,20130225,1
27,20130226,1
27,20130227,1
27,20130228,1
27,20130301,1
27,20130304,1
27,20130305,1
27,20130306,1
27,20130307,1
27,20130308,1
27,20130311,1
27,20130312,1
27,20130313,1
